leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
389.6962432,214.6599576,380.5009363,261.5632467,380.6254207,168.8750554,405.0888571,255.4704776,321.8176585,217.0908015,344.3561758,254.6083091,330.061571,172.1223857,318.2895889,262.3353729
389.6962432,214.6599576,380.5009363,261.5632467,380.6254207,168.8750554,405.0888571,255.4704776,321.8176585,217.0908015,344.3561758,254.6083091,330.061571,172.1223857,318.2895889,262.3353729
389.2152478,215.148859,379.0029459,262.1708675,380.316857,168.7962427,404.1780054,255.6085088,321.6827716,217.0521474,343.9854544,254.8135142,330.1750349,169.20677,318.0435808,261.6975256
387.3188106,216.3336585,379.2128359,257.6149342,379.061523,167.1354219,401.650232,257.5788312,320.4487412,217.816532,342.4544851,253.9296931,326.7183003,168.5855268,322.0400005,261.3188231
386.6521221,216.5447079,381.1239535,256.4417617,379.1052125,167.4688433,400.6465776,254.1923729,315.591324,218.0224572,340.5091627,257.5182508,325.1666133,168.4670198,308.9099542,263.5234912
391.2392073,216.2550121,372.3833075,255.8377621,377.0047977,172.0572195,406.748471,253.2709313,313.2587458,217.6255078,339.4998242,258.0597706,326.9241592,168.6828843,305.3241837,263.0195943
396.5638446,208.443483,370.4836121,256.6737208,378.0151618,169.1455282,423.0221517,240.5255461,303.4280825,205.8750801,336.9918378,256.9811474,326.5408349,168.4915321,277.8160261,248.2274887
401.4021556,201.849451,371.9892669,254.5772202,377.6747002,170.5848724,431.6506124,226.9676132,299.1391175,208.3950445,339.3729779,257.3543258,324.3831915,167.3816116,270.1830342,237.1165625
413.6110406,190.1436781,374.1316494,255.0354465,379.0964117,165.3077274,444.4524855,209.2123431,285.1134104,192.3084636,337.9520439,256.2646935,326.690351,165.5465658,251.3219972,213.8347559
410.4401469,189.2560859,374.6893003,255.6254453,379.7297923,163.8259459,463.1832554,189.7654334,280.2140278,190.043307,339.0617626,260.877623,324.4011911,165.5410648,230.7096494,199.442855
419.0644217,183.2195264,375.3482598,255.4112917,380.0646568,162.5140712,469.0490561,174.78736,273.8701041,178.5867031,338.9940977,262.6433527,324.6977232,164.282786,229.9875971,180.0733566
415.5617299,166.2876232,372.0463546,257.8868483,380.5178843,160.183343,470.5675557,149.5682706,271.8488504,163.4544704,343.5526865,255.9969083,324.6797702,163.8253515,225.0411914,151.170101
427.5436474,154.6034686,372.1607979,258.4753304,377.4925685,161.8234315,455.8637604,141.3773859,271.0346495,154.2182491,343.0606573,256.4006265,320.4719944,161.4869864,240.3868439,148.3176876
411.4013105,149.7934761,371.5894469,258.6637682,376.2112419,159.9683126,453.5543022,123.9045949,276.2452718,138.2744878,345.0964145,252.9414058,322.0528616,154.3641722,239.3506102,118.9488198
413.8350955,135.0647744,371.3210748,258.7484453,374.8669425,158.221833,444.2152425,104.5140871,284.9682661,130.6631144,344.699074,251.3242424,322.7734942,154.0982975,255.790552,97.47511623
399.8180594,131.4205671,371.5964935,258.0268586,370.9156018,156.2939548,427.8474066,83.98414313,295.8024395,114.7026839,338.2731657,257.1602894,323.2487087,159.2636966,271.5639947,81.58328508
398.15668,116.7471916,369.4717658,257.0261479,374.327089,153.2654783,407.2170802,77.13580841,300.3664119,114.3893291,341.2075717,252.1905968,320.3440197,155.0643633,282.4036697,68.25278666
389.9576348,112.3620519,369.9275046,256.5386777,373.6379487,152.5712642,397.3732816,64.34125798,300.2513463,110.5752716,339.7869339,251.534887,320.0999665,155.766598,297.8440174,66.07579133
