real_start;real_end;round_start;round_end;label
0,58;2,51;0,6;2,5;2
3,35;5,31;3,35;5,3;2
6,44;8,44;6,45;8,45;2
9,38;11,37;9,4;11,35;2
13,27;15,14;13,25;15,15;2
16,27;18,04;16,25;18,05;2
20,23;22,03;20,25;22,05;2
23,2;25,13;23,2;25,15;2
26,4;28,43;26,4;28,45;2
30,23;32,1;30,25;32,1;2
33,32;35,22;33,3;35,2;2
35,92;38,3;35,9;38,3;2
41,18;43,1;41,2;43,1;2
44,11;46;44,1;46;2
49,34;51,3;49,35;51,3;2
54,17;55,97;54,15;55,95;2
57,37;59,2;57,35;59,2;2
60,2;61,8;60,2;61,8;2
63,7;65,66;63,7;65,65;2
66,7;68,53;66,7;68,55;2
70,36;72,13;70,35;72,15;2
