leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,ms_since_last_frame,ms_since_start,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
328.8607173,203.9513381,288.9753213,257.9725039,301.7999148,156.7188739,351.7626856,229.7193038,0,0,223.117418,207.9312876,248.2394535,256.3432991,238.629118,157.6945683,219.0611931,258.0858908
320.5488655,207.9437384,286.6645814,253.8482845,301.5597949,155.7827647,339.1212556,245.6889452,149,149,223.0409884,203.7282063,246.8490188,253.3581434,240.2409561,153.9135397,215.507496,252.1525259
313.6642343,208.3426178,283.4361156,256.813411,301.5380204,153.9071188,310.0515399,261.8180999,181,330,224.8064388,203.3549137,246.0999734,252.9706734,243.0066193,152.7999791,219.5276494,251.4531982
311.3097675,209.5773526,280.7556375,260.3438161,301.9663554,157.2034962,309.3854294,259.5752697,124,454,221.2141354,207.8562428,245.3824983,254.2864833,240.554149,154.7178256,215.5961004,255.3594414
314.8432949,234.0607784,286.3061166,284.4713823,300.8332875,182.7270741,313.7530405,282.0157181,126,580,226.1364892,232.4110469,246.3531352,278.7817285,243.1148652,180.9667081,217.4308832,277.3769104
315.6026103,235.4377973,286.4093242,285.6988793,303.4571442,183.3435287,313.6884898,284.2527212,125,705,227.1782476,233.4287667,248.9070231,280.8495977,245.2706877,181.6125116,218.9122337,278.7099671
314.0989114,235.841606,286.0767276,284.7443477,303.420857,183.542877,312.519932,283.6043356,129,834,227.2210021,233.3890512,248.5758401,279.1541608,245.0281984,181.0711193,219.2235857,277.1035017
315.7565389,234.2466592,284.0852908,282.4357069,302.6771108,180.9115624,312.5632416,282.9664199,125,959,226.1074165,231.5940475,247.3940401,277.6382275,245.034616,180.456828,219.2516722,276.2744591
313.4664553,235.1668809,283.1963037,282.3146866,302.4305045,178.8668655,308.0764483,282.6938249,128,1087,224.6791943,228.9555,246.2940932,277.3840937,244.2079499,176.3665391,218.0485733,274.9155738
311.6935553,229.08855,279.7882282,280.2911048,301.0614803,175.6807927,310.4667069,283.669786,125,1212,223.1213266,228.9687157,245.2883396,270.9755514,242.6770732,176.348318,211.3498406,274.4429336
311.6349208,228.9411986,277.7915052,279.5136006,299.2616643,176.2820488,309.3284352,283.4095205,124,1336,219.4524626,225.8401275,243.2790813,275.0502842,241.9027831,176.9466039,211.4376171,272.9963174
308.5848785,228.4922807,275.8862175,278.9058224,299.1864084,177.1411421,308.5519191,281.8678897,125,1461,219.0527787,224.7130131,240.762,275.4111551,241.106807,176.0067876,211.4248422,269.6046526
302.6145623,232.4764836,274.4364049,278.4943311,291.30872,177.4742678,304.8686979,282.9606791,128,1589,216.2834074,226.0185873,237.7630085,273.873487,234.5852022,173.8163956,207.2639826,273.6442159
303.5341598,228.5988297,273.2295597,274.5799956,292.4612176,175.7081854,301.7068192,273.8482286,131,1720,214.5881829,222.356155,237.3453665,271.2511707,234.2225311,171.2331977,209.8118996,275.645355
300.9575016,224.3234721,270.4168571,270.8098218,291.3361632,172.2478928,297.3007918,270.6823546,239,1959,216.2409096,220.6116675,235.4977555,265.0989337,232.5026543,168.7507864,206.2622042,263.6544686
305.4365106,220.3068129,272.5661964,269.1438451,299.1202633,172.1044572,299.2310906,273.5752679,127,2086,221.0816102,214.3488249,237.2124362,264.5170208,241.7175196,167.1654604,210.0229335,261.6673914
305.5314406,225.0188648,273.1357459,272.3359338,299.3004338,174.7191627,297.7379173,272.3269814,124,2210,222.2851834,220.1000663,240.0531726,269.7869652,241.3383682,172.5936355,211.6228588,263.9479814
307.1642516,226.7673775,275.1729853,273.7085098,299.5035449,175.5073927,304.3315201,277.9284798,125,2335,222.911931,220.7240658,241.5151931,271.6096341,241.2748237,175.1110302,215.418565,265.3859222
315.9433591,222.5055712,290.3916611,274.7653911,308.6926375,175.1262651,310.6792484,273.5226674,125,2460,238.8343358,222.0900428,254.1186702,270.6262417,253.9852735,170.1550233,227.1426189,267.2385317
315.6498131,227.9271046,294.2328472,276.6510258,311.2456733,176.1064791,301.6077761,275.6463829,127,2587,242.6414625,224.1679465,256.9334359,270.5328196,258.7829622,174.0001901,229.4040836,267.0243064
306.189083,226.9522488,297.4732004,276.9302341,313.9113096,177.1949054,283.9360968,246.6526517,130,2717,246.0584038,220.5255898,260.29355,271.3388431,258.6179925,173.5666228,236.898261,259.9572287
310.5351213,210.8096903,303.4729397,267.7823386,316.2062668,174.73555,296.6059851,188.2856398,126,2843,242.4091183,223.3124371,266.8081155,271.280119,257.947331,174.4973874,237.7655588,266.1885391
315.5047607,214.0450833,308.680953,271.6478822,316.3137619,168.7790317,311.8634648,232.7833785,149,2992,250.7047019,219.5731058,268.6707964,268.8513072,263.536228,169.02698,237.4868791,263.3574191
317.411465,131.5057645,309.3778429,273.9529521,319.0846969,164.9566762,292.7684899,80.14373542,193,3185,249.840984,220.7529872,266.2014601,270.9054093,264.1932723,168.347067,237.9630456,263.6675955
336.2409904,123.812901,305.9790096,272.1012635,317.2426563,166.8546617,327.3534768,77.46779418,127,3312,245.6641501,221.3817461,265.4560682,271.7621112,261.6854591,170.8362412,238.891925,264.3801152
348.042507,128.7222811,302.663966,272.3258203,318.4230798,162.0328052,346.2068464,79.77882813,130,3442,244.3986247,220.3659052,262.177396,271.9570163,260.0190083,174.6257396,235.591429,267.1919294
360.8550532,129.9275126,299.5694334,277.6771757,325.2982353,164.5599404,371.9460234,94.99654261,124,3566,242.3778752,226.5323183,261.5685549,272.4841906,258.7543105,175.086311,236.5487894,269.5930416
380.6987473,154.7511609,300.4644468,272.3307404,319.2809848,167.7110573,396.4818531,118.5133925,127,3693,241.1134569,224.4917992,258.2552979,275.8712361,249.6955689,173.6035754,235.8717791,274.1759511
378.1993107,172.887488,299.3514691,271.4300472,321.7845668,176.9050957,394.3729261,162.8618843,119,3812,232.7072765,228.2072332,262.0869664,274.7932585,251.3714373,180.0223502,227.079764,277.0578801
346.1127454,213.4494912,289.4222755,276.3420607,304.5071116,177.5132241,383.3392836,204.5847501,125,3937,226.9403449,229.3922196,250.6424954,276.9882601,242.7353642,180.8967228,218.8871302,277.8483386
