leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,ms_since_last_frame,ms_since_start,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
308.8931962,189.1972386,283.0826674,237.7134949,297.1415375,128.8315172,314.563968,244.0619716,0,0,210.646134,187.5720672,239.4101203,241.964536,225.5800655,130.4573679,211.4176621,239.7525193
308.0845602,188.5065036,280.1185511,236.7181505,297.5938331,128.9665543,313.1557924,244.5843028,193,193,211.3652884,187.2891147,238.2148059,241.3980184,226.1890199,130.0817594,211.5284126,244.4767463
308.7992701,191.4526662,281.2464217,241.0901161,295.0298028,132.335233,311.6123036,246.6332758,128,321,211.1807939,190.9227125,239.4908462,244.4434973,224.8522415,133.6790822,211.864021,241.8307843
307.0209841,192.329139,280.5156516,242.7572002,293.586378,133.8814602,311.2297524,249.3831436,131,452,211.6794863,190.8104931,240.0998143,245.5765683,223.0822608,134.4856088,211.9994907,243.7450232
311.6517171,195.1448846,285.9301811,246.4824956,296.013917,134.6895344,313.8253754,246.9221996,126,578,213.7324439,189.64886,240.4209297,244.1254998,224.1176907,134.2467776,214.2316783,243.9852775
313.0799567,193.8083868,286.3373887,245.5785802,297.2688144,134.0976362,315.4695289,251.3472218,132,710,214.1843526,189.6800122,242.1788952,245.5297118,227.0066805,134.078617,214.3495498,247.4087503
311.9776929,194.2764811,291.6609455,245.7612653,298.894111,134.8118925,320.2039028,247.3775148,128,838,216.1834725,197.9048836,250.125067,244.7378996,230.8355373,134.1700403,220.9709669,249.6896637
314.0192363,196.0224465,284.564434,245.4790353,302.8775826,136.1269191,321.494016,251.8666956,129,967,217.3709069,196.1644017,251.0674523,244.4182828,232.0660408,135.4464768,220.6463014,249.2039707
314.7527267,195.5676135,285.1002239,243.7035883,303.3736458,132.551954,320.8247776,252.80242,130,1097,218.5799239,196.2418078,251.527064,246.0103002,234.0218873,134.9325798,221.7246734,248.9105652
320.9018531,199.1104946,291.2491492,248.8922125,304.7789779,131.5493917,327.7152372,257.4017671,128,1225,217.1767702,192.9036183,247.0804311,253.7497155,235.5503169,133.3029556,209.9424707,241.8263793
326.3015283,201.0118673,289.5312767,245.6240568,302.8317621,135.0995498,347.8038798,259.5795712,137,1362,209.4651467,190.2074261,247.7898053,255.993295,235.2563792,133.9216312,185.8197523,221.7773462
344.8358029,183.2018907,290.3022042,243.5276507,309.600278,132.6020258,385.1262246,199.0901298,131,1493,181.0629774,179.6281916,245.5955868,248.5356015,224.5465849,133.7688075,145.9980543,203.2716981
367.872942,150.3322631,293.7870194,248.2176806,314.319887,131.7840229,438.0016118,159.0313258,131,1624,180.5300588,159.7382428,244.8687251,249.0433201,227.1385812,128.7934569,110.4222572,160.116009
378.3952781,92.2185834,291.7514321,236.0271766,315.8061352,118.2183614,414.0058235,60.57616848,133,1757,169.6074776,96.88195388,248.6687654,239.4599659,234.5600903,122.1938272,110.1832099,81.92594318
337.8821885,53.08640993,292.9415432,233.5733206,306.2493726,108.7453328,366.523386,19.20598067,139,1896,193.1396662,81.96094011,251.5675204,239.459689,228.8441658,113.5081292,145.152099,20.7431686
329.99338,113.4888999,296.4408213,263.3458292,304.1428705,139.9909786,335.4507212,26.52629377,127,2023,207.9964566,96.15088738,247.4739613,267.2849059,235.1204643,141.4503846,186.8907429,30.52578638
318.0971408,197.7603557,294.3165487,280.8533339,298.7188424,160.7530839,332.27592,220.5755773,132,2155,214.4703773,116.7244321,245.3236646,280.8390292,237.4009223,158.4218045,208.7193553,43.49438759
304.2940499,163.4009318,290.5725336,283.8374165,299.3972506,160.4970521,313.8915291,121.9886427,132,2287,223.3128879,126.0579728,242.8286551,285.6342483,237.3148902,160.6179571,240.5002916,47.99602414
298.7372134,121.4818054,290.9009028,290.1430508,297.6233199,160.9928476,285.9166541,46.83925859,123,2410,226.7875344,121.0168772,243.8999155,292.956976,244.2610666,174.2323113,251.9035068,53.40976213
307.8710857,133.5793883,294.7640514,292.6823577,299.7255482,166.475501,284.5852977,65.0773159,134,2544,226.7669884,125.0527107,244.8017418,295.4888298,247.2587007,174.1861766,250.9942416,67.76650154
308.5397266,147.5428452,296.4711387,297.5899926,304.5272556,175.6429891,295.6102917,69.18621728,129,2673,230.5586054,136.12835,247.0639524,298.6626699,253.2686795,184.4796346,256.0062933,66.07321743
