leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
343.6193751,226.2696784,323.9269121,272.5842084,329.9325562,161.5083874,348.7908183,274.5626592,256.8465369,225.8467178,284.4857377,270.4537758,261.9468126,167.0543395,253.7995097,273.540903
340.5936543,221.3871157,321.8665797,273.5394114,328.4874485,164.216483,348.5547328,275.3555238,257.0719679,223.4422017,282.6471896,271.2821162,263.0696466,167.0777551,255.0051985,274.3256237
339.1827959,220.7081939,320.0487812,276.0742902,327.5242678,161.7802078,343.7246959,275.1368089,254.685397,223.0204556,277.650308,273.1536072,258.5499957,166.0255091,252.5514784,272.3774989
340.3295064,218.8721357,322.4825321,275.3538825,323.7801153,163.0000631,345.03632,273.9609183,253.5642621,222.0939175,274.6945,273.0911038,259.6739824,163.5443893,249.8849597,271.7574416
339.0642578,217.1447522,322.5903045,275.6384617,323.2596279,162.5719824,342.6020129,273.1661778,251.3230714,222.6118453,274.4926068,271.3097254,256.1127098,165.8708652,247.3486895,271.8946686
338.8084838,218.4924734,322.4034333,274.5152603,322.0429665,162.9963171,342.5039373,274.1788529,251.2961706,222.8081347,274.060007,270.8156697,255.9885364,165.7372862,246.6623107,272.5815911
338.2021069,217.0836277,322.4374463,268.9156593,321.4795966,159.9430407,342.1123118,271.94931,253.5729511,222.2888246,272.7801427,271.7508695,255.6464465,164.2051919,241.9473677,271.4704681
337.4492807,216.1143903,322.4511411,270.7332946,323.1947274,157.6769024,342.6698202,269.3381014,253.4815408,220.5293268,272.6520568,272.6465599,257.4435611,162.2058334,240.4129344,272.0706842
339.2236445,218.2140094,320.2589817,271.6770604,323.98709,156.0431109,340.5101762,274.4641749,252.2304982,220.9949079,272.9271323,270.8277866,256.6249388,161.0792346,239.7988584,271.799346
340.2654754,214.5116023,320.4966189,268.0613517,320.4742359,156.9467152,330.4523328,266.4614298,250.4665628,216.9702651,281.3648092,269.4227405,254.7381543,159.0569614,242.2855539,271.1926692
339.6670345,200.3493464,318.7758355,261.6676741,321.5008561,154.3651537,324.5157986,222.5741682,252.70196,216.7899969,277.1181984,271.8480832,253.9424178,158.5929173,240.2426775,270.1157344
339.2398483,193.2977412,318.1778383,259.9637319,320.0203893,148.868283,323.7323012,179.9197936,249.6737319,218.3489514,279.8269435,261.4267527,256.4619393,156.8489631,249.7129344,262.6641553
342.8400688,175.3942002,326.2820686,254.4055531,322.4756058,138.8813285,313.7839522,139.6360733,255.8178654,209.2754342,281.5336431,255.5459443,260.0705432,150.194148,254.2200703,259.5776198
341.7326723,174.7315771,329.1823685,252.7375193,322.9853898,139.6336126,311.4689948,139.0152512,255.420852,213.8064059,283.51059,261.5565971,259.5325439,148.5247073,251.4751388,259.3880818
345.1343336,179.9306814,328.75939,254.8962025,325.8682169,142.4429893,314.2245759,166.3666828,258.914306,214.9990139,282.987781,257.7205547,260.5605527,150.0923001,252.0023534,263.5162239
344.9002439,197.8397809,327.8816413,254.8998752,328.9681754,145.8073014,312.3842631,197.5821634,259.5501824,210.2233724,284.0866802,259.8429474,263.1220891,149.4109681,263.4908094,266.1009934
349.3141344,199.492632,327.7114864,255.9532204,329.601799,145.8406029,322.3518076,210.6183019,259.7950399,209.5893787,281.070861,258.9412752,263.4064967,149.3648406,256.0207788,261.3957942
350.9392347,206.8299931,329.375977,254.4114434,331.7511796,148.1660002,318.316482,231.9951909,262.5663956,210.4001848,285.7472953,258.377483,265.4294188,152.6733348,259.8571437,260.1542331
351.5161309,207.7284968,325.896457,257.2903495,332.5676057,148.0035045,319.1473648,245.393677,258.9651466,211.0955865,281.8488229,259.6274662,264.6362596,152.3833429,260.7023252,261.292901
350.7582987,200.8016825,329.9333001,257.9911622,333.3576953,147.1469205,331.875293,239.7629452,261.8031776,209.9628853,289.87509,260.5792538,266.3907354,151.3850858,256.0431851,261.6131935
352.7138964,205.3341371,329.1362736,254.5254359,331.5656687,147.7964202,324.4716476,244.4415107,261.1631698,211.2819273,289.7538405,257.8858904,265.0769011,150.100659,257.037982,260.7214407
350.6696231,204.4692113,330.957491,251.7252963,330.8055726,147.8011925,322.4872069,235.493289,261.2288255,209.9756188,291.0724201,255.3967785,266.2853664,151.6195255,261.5168402,259.3791266
352.6512134,195.6133463,331.0931656,254.7934297,333.7439758,143.3862606,318.151726,223.8891078,261.197309,208.1757409,290.8016085,255.7558835,266.0382558,146.4867253,257.7352541,259.7085574
354.3904098,198.27746,330.1754186,250.849961,332.0908694,141.7457765,316.2894632,218.5728816,261.343536,210.0641749,289.9406324,253.3656192,268.3788269,144.2965994,262.6960572,260.8000736
350.6499864,196.2598015,331.3325917,249.256374,330.758514,141.6622273,312.9489314,205.9973218,263.4765755,209.2560371,292.3214309,252.1082792,266.6745117,146.6171578,257.7685498,253.422504
342.328628,197.9699088,330.5478545,250.5910272,331.009632,142.763342,305.7849121,201.7845728,261.662609,208.9836901,291.5022857,252.4080932,267.9194099,148.1339602,260.1218358,248.3290766
369.1418141,216.092424,350.270325,266.2123388,356.271281,150.3687881,378.5012081,269.4746315,284.5726479,218.4894371,307.413615,263.4559344,284.1378468,157.138866,278.6179759,257.8243949
366.5032152,210.6388723,347.1218135,266.3690194,352.1127773,152.1019993,369.5469558,267.3015581,277.9099199,211.9787507,301.0174417,267.1832225,282.0370896,155.2912593,274.4228855,256.5088204
363.0527361,209.1873726,346.1715075,265.10115,349.479073,151.706685,366.5871391,262.2020683,277.0433259,214.2489771,301.8503285,269.5029831,279.8420598,156.4176699,266.3464683,263.0410952
363.2776154,215.1923083,343.8409521,266.8611076,346.5574553,152.4666742,363.4297338,269.6763709,271.8508232,214.9090153,295.8031255,265.612604,278.0723657,155.8297735,265.1479216,263.4025051
357.4186751,215.7127065,335.1226321,268.3560965,345.8462779,152.7825336,361.6179327,269.8704366,271.0540228,215.9693409,296.7872444,265.4138922,274.3707729,157.0693381,264.2104649,266.4169599
354.2524788,217.0710347,337.0758194,267.6454339,342.5252996,157.722329,362.8766298,271.3287992,269.7211891,221.4871684,295.5151143,266.608007,274.9285702,159.105492,262.4027975,267.9933653
355.2286847,218.3282971,336.6257467,268.8275577,339.566822,159.0476745,365.1315567,271.5052385,264.338387,219.2337815,289.5534772,271.6695032,271.6450658,160.9546512,263.1702506,272.3501804
354.511566,219.4819938,335.9256702,270.3746804,339.4088972,159.0122557,363.4888731,273.0953913,263.6730993,223.2174446,288.348397,272.2204275,271.1341935,161.4582181,260.9940674,271.1830287
353.2204761,219.2987974,332.5104634,273.271266,336.5671189,159.7492356,361.0308393,273.5043487,264.3217699,223.5880223,286.3843114,273.48845,268.0469673,164.1659318,256.7457767,271.610875
351.0542627,219.2102588,330.629028,273.6055837,335.8077857,158.9286315,363.0779754,269.0829804,263.5648255,221.0431454,284.4487029,274.0945527,266.5431825,162.3173974,254.5388749,272.917205
349.9126888,215.9887804,332.6378488,269.6754382,334.8660675,159.3334559,361.1143287,268.4114191,258.4566928,220.501611,286.4484047,271.0384491,264.3453631,164.5255728,254.7841634,273.6977842
349.3751121,218.2995812,332.2883537,269.1545504,334.0386825,159.4986483,360.5806435,268.2158441,258.9224831,221.5890245,285.2859368,272.4245689,261.8447479,162.8900866,254.2160593,273.3824434
349.5246802,219.6633064,327.6564319,273.0987321,332.3932318,161.1829743,360.6926244,272.2582052,258.3840789,222.3652223,284.9897744,270.5060227,261.4079353,164.9121621,254.1539766,272.4925189
348.9244869,221.7073988,328.0958731,271.5005683,333.7261518,160.1959242,360.5810725,274.2187353,258.1820584,223.8288988,284.3597879,270.4292129,261.5170345,165.286723,253.0752899,275.0869298
349.3122269,221.2385331,325.584984,273.0972286,331.0116468,161.6245281,360.1992466,275.7472262,256.9412787,224.131391,284.5908974,271.2025892,260.3275548,165.9092754,253.7176724,276.2318784
348.3851822,220.0007141,324.1897994,273.2708051,329.1532099,161.1691786,359.5145568,268.345175,256.5017725,224.9084204,284.6613392,270.9684846,261.0766035,166.3714429,253.8466808,274.5022109
348.3185766,222.1144289,323.4293096,271.755342,329.9272666,159.4669592,358.6181171,267.8321571,257.4510739,223.6992336,282.3535486,271.7016363,258.9602264,166.0380025,251.9719888,273.2580857
347.6790508,221.4293049,323.4087285,272.5106081,329.6105374,162.9050581,359.1255945,268.5795878,256.0081033,223.1949091,281.3421708,271.9322384,258.8954191,165.971491,252.7177692,274.2013644
343.563659,219.0378587,320.8491666,273.447476,328.7324487,162.8104936,355.7956443,278.000958,253.8195469,222.4306458,280.0113275,272.5268294,260.9390664,164.7279585,250.78975,275.2479459
342.6251615,224.2047696,319.8971914,280.5707785,326.7611913,164.6901142,336.5000648,286.0023338,252.0917638,221.9296308,274.1927447,277.3195914,260.2188968,165.330169,249.4979239,272.3812093
329.6380874,229.2061591,318.3836077,268.5906067,323.901589,161.8157092,300.3991521,268.526708,254.66705,226.4889611,274.2076214,272.2591517,259.023223,163.5784933,248.9284659,276.8765487
309.6333422,221.2324242,316.4662636,267.2682285,318.3132752,161.1999938,260.1740943,249.4706726,258.6833907,228.1504013,278.5968811,275.6148046,256.3521246,163.6513704,246.5052593,264.9524567
306.0793039,188.4725246,319.2864043,271.3426585,315.7092736,159.4496969,281.7480647,163.0794126,249.3487605,203.0122805,272.9540457,271.6281628,260.3130148,159.8007422,239.3632572,225.1160488
314.5372815,188.6890843,316.8505851,268.5344362,314.5452822,150.1482769,303.9644997,229.6437094,249.3023277,188.4232523,273.5712178,270.0440984,259.9331301,153.1514227,255.3820477,232.3313931
305.6647971,120.3345161,315.115389,264.2551119,306.8336143,148.0962961,271.8233298,76.35056492,251.6905654,217.7893848,275.0962364,270.3434938,253.9120568,163.1082782,246.6343104,270.0926686
314.966204,130.4490341,313.1475263,266.9390695,307.7301798,144.8572011,312.623924,65.01268977,250.1234756,230.3440732,270.7230103,270.6482243,254.1686235,164.5170341,244.8295622,270.2910978
