leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
336.5891248,210.1869109,306.9097674,260.3517387,320.0765708,156.671932,332.4496998,263.8675209,243.5274358,209.5288765,268.2838282,257.7544895,260.2241233,159.4750894,238.9238462,254.6531446
329.6896803,201.7056676,299.2839802,255.633226,316.1673451,150.6271462,327.3802062,251.4014725,240.3323615,203.8502295,259.5029213,248.9435667,254.3043708,153.1044042,237.9059971,246.9698038
323.9693645,193.6167198,292.6309625,242.1222494,309.6254068,139.9772253,319.4525899,247.6935281,232.1157684,185.7951578,254.974006,236.1871837,249.3722121,140.7516417,227.8966621,234.3366749
323.3265053,193.7476012,292.9378601,244.3990014,307.2211462,139.6690103,319.9731931,245.7917221,231.2393454,185.8664646,249.0278945,241.7029753,249.5721342,141.1636249,227.5451021,233.5021326
322.0352707,170.3651808,295.0316266,216.7802049,305.9060086,115.1571959,320.6514669,218.7562045,229.0350249,171.6601535,255.9450098,216.3382186,243.4666551,114.3621175,231.425846,210.1843712
322.9450278,167.3142238,295.2616984,216.8904624,306.9554911,110.6997107,319.7204687,219.9788326,230.2950596,166.1260424,255.8509693,216.5680616,244.9418652,112.6392355,229.0791972,216.3681028
328.9493158,166.5538391,297.2224564,216.6283023,313.5620506,114.6886186,324.6311721,216.7779438,237.5264795,166.7277646,258.7345978,215.7099925,251.6645712,114.7338529,236.1432026,210.4196593
325.6267776,161.2533062,299.797458,210.2207537,316.6356859,104.2157987,324.3396449,215.4934035,239.7153325,161.5066356,261.7307061,208.0269482,254.3036148,105.0426144,235.1503679,206.1819317
322.8287194,159.937976,303.1805003,209.3585847,316.3227751,102.8748761,301.881131,209.5509843,244.7417858,159.2953695,262.0616931,207.8523366,254.7411899,101.8659968,239.050463,202.444227
311.0764465,153.1568087,309.4993668,207.5117557,313.8962236,100.7897545,267.3210116,199.3285074,246.0365942,155.8535312,267.5656059,210.7237675,258.2875632,101.1966013,247.0502017,200.6549363
299.474034,142.8491116,307.6691014,205.4615324,314.0856416,98.36298064,256.0410687,146.3005658,244.6953901,154.7846758,269.9735407,208.071135,256.7156723,102.041655,240.4546528,185.0854005
305.2067651,136.5115902,307.0577622,205.7072487,312.7776244,103.0050504,286.7477363,106.0862976,227.7097999,127.4347206,270.3625189,209.7018655,254.208544,106.1714168,227.2590746,119.4908674
307.6162529,141.7788451,303.8598147,223.3454938,313.6898316,114.0953512,290.1114572,136.278705,215.3568201,119.6018026,269.3762207,225.6940121,255.5968931,113.4359939,200.1037982,97.40127211
308.3365317,134.6961394,308.6268179,227.3364747,312.0847269,110.1016251,297.4722421,122.4303846,238.5083275,178.0412993,266.6396998,226.3762005,262.9211911,113.2045073,239.7327211,227.052306
306.8794117,139.942613,303.986988,228.8987659,303.8620197,116.038079,298.7129083,120.890655,238.2595461,177.2980898,263.9099583,227.6344645,257.5131703,125.7669955,236.8230979,227.8259006
303.6119699,169.5041278,302.2523029,230.0729384,308.8594488,127.3409271,310.8015904,210.8385355,237.2437932,180.5132899,263.6192706,231.7621588,253.6115012,124.6602883,234.9192409,229.6940985
310.6601802,108.5448502,303.1427042,225.2425895,303.9768015,117.9469483,311.3395323,41.7029091,234.420451,183.9816162,263.8600972,228.2193395,249.7435641,128.4930865,233.6522375,227.5642724
