leftShoulder_x_0,leftShoulder_y_0,rightShoulder_x_0,rightShoulder_y_0,leftElbow_x_0,leftElbow_y_0,rightElbow_x_0,rightElbow_y_0,leftWrist_x_0,leftWrist_y_0,rightWrist_x_0,rightWrist_y_0,leftHip_x_0,leftHip_y_0,rightHip_x_0,rightHip_y_0,leftShoulder_x_1,leftShoulder_y_1,rightShoulder_x_1,rightShoulder_y_1,leftElbow_x_1,leftElbow_y_1,rightElbow_x_1,rightElbow_y_1,leftWrist_x_1,leftWrist_y_1,rightWrist_x_1,rightWrist_y_1,leftHip_x_1,leftHip_y_1,rightHip_x_1,rightHip_y_1,leftShoulder_x_2,leftShoulder_y_2,rightShoulder_x_2,rightShoulder_y_2,leftElbow_x_2,leftElbow_y_2,rightElbow_x_2,rightElbow_y_2,leftWrist_x_2,leftWrist_y_2,rightWrist_x_2,rightWrist_y_2,leftHip_x_2,leftHip_y_2,rightHip_x_2,rightHip_y_2,leftShoulder_x_3,leftShoulder_y_3,rightShoulder_x_3,rightShoulder_y_3,leftElbow_x_3,leftElbow_y_3,rightElbow_x_3,rightElbow_y_3,leftWrist_x_3,leftWrist_y_3,rightWrist_x_3,rightWrist_y_3,leftHip_x_3,leftHip_y_3,rightHip_x_3,rightHip_y_3,leftShoulder_x_4,leftShoulder_y_4,rightShoulder_x_4,rightShoulder_y_4,leftElbow_x_4,leftElbow_y_4,rightElbow_x_4,rightElbow_y_4,leftWrist_x_4,leftWrist_y_4,rightWrist_x_4,rightWrist_y_4,leftHip_x_4,leftHip_y_4,rightHip_x_4,rightHip_y_4,leftShoulder_x_5,leftShoulder_y_5,rightShoulder_x_5,rightShoulder_y_5,leftElbow_x_5,leftElbow_y_5,rightElbow_x_5,rightElbow_y_5,leftWrist_x_5,leftWrist_y_5,rightWrist_x_5,rightWrist_y_5,leftHip_x_5,leftHip_y_5,rightHip_x_5,rightHip_y_5,leftShoulder_x_6,leftShoulder_y_6,rightShoulder_x_6,rightShoulder_y_6,leftElbow_x_6,leftElbow_y_6,rightElbow_x_6,rightElbow_y_6,leftWrist_x_6,leftWrist_y_6,rightWrist_x_6,rightWrist_y_6,leftHip_x_6,leftHip_y_6,rightHip_x_6,rightHip_y_6,leftShoulder_x_7,leftShoulder_y_7,rightShoulder_x_7,rightShoulder_y_7,leftElbow_x_7,leftElbow_y_7,rightElbow_x_7,rightElbow_y_7,leftWrist_x_7,leftWrist_y_7,rightWrist_x_7,rightWrist_y_7,leftHip_x_7,leftHip_y_7,rightHip_x_7,rightHip_y_7,label
0.4925,0.18625,0.4,0.1825,0.5075,0.25875,0.34,0.1975,0.5075,0.33875,0.26375,0.16625,0.4675,0.34625,0.41125,0.34125,0.49,0.19,0.4025,0.1825,0.5025,0.2625,0.335,0.2,0.50125,0.33375,0.2875,0.185,0.465,0.33375,0.40875,0.33875,0.49,0.19,0.405,0.18125,0.50625,0.2575,0.33125,0.2025,0.5,0.33,0.4125,0.335,0.465,0.33125,0.41125,0.3375,0.49,0.18875,0.4025,0.18,0.505,0.25875,0.33625,0.19875,0.50125,0.3325,0.29,0.19,0.465,0.33125,0.40875,0.33875,0.4925,0.18875,0.40125,0.1825,0.50375,0.2575,0.33625,0.1925,0.49875,0.33375,0.27875,0.17125,0.46875,0.34375,0.4075,0.34,0.49125,0.1925,0.40125,0.18125,0.50875,0.26625,0.33875,0.19,0.50875,0.34,0.295,0.185,0.46375,0.34375,0.41,0.34375,0.49,0.18875,0.4025,0.17875,0.505,0.26125,0.335,0.2,0.51,0.33625,0.2625,0.17,0.46375,0.33875,0.41,0.3375,0.49375,0.19,0.40125,0.18625,0.50625,0.26,0.32625,0.195,0.50375,0.33875,0.26,0.1775,0.465,0.3425,0.4075,0.34125,1
0.49,0.19,0.4025,0.1825,0.5025,0.2625,0.335,0.2,0.50125,0.33375,0.2875,0.185,0.465,0.33375,0.40875,0.33875,0.49,0.19,0.405,0.18125,0.50625,0.2575,0.33125,0.2025,0.5,0.33,0.4125,0.335,0.465,0.33125,0.41125,0.3375,0.49,0.18875,0.4025,0.18,0.505,0.25875,0.33625,0.19875,0.50125,0.3325,0.29,0.19,0.465,0.33125,0.40875,0.33875,0.4925,0.18875,0.40125,0.1825,0.50375,0.2575,0.33625,0.1925,0.49875,0.33375,0.27875,0.17125,0.46875,0.34375,0.4075,0.34,0.49125,0.1925,0.40125,0.18125,0.50875,0.26625,0.33875,0.19,0.50875,0.34,0.295,0.185,0.46375,0.34375,0.41,0.34375,0.49,0.18875,0.4025,0.17875,0.505,0.26125,0.335,0.2,0.51,0.33625,0.2625,0.17,0.46375,0.33875,0.41,0.3375,0.49375,0.19,0.40125,0.18625,0.50625,0.26,0.32625,0.195,0.50375,0.33875,0.26,0.1775,0.465,0.3425,0.4075,0.34125,0.4925,0.18875,0.39875,0.18,0.50625,0.25625,0.33625,0.19875,0.50375,0.34,0.445,0.3425,0.46125,0.33375,0.4075,0.33875,1
0.49,0.19,0.405,0.18125,0.50625,0.2575,0.33125,0.2025,0.5,0.33,0.4125,0.335,0.465,0.33125,0.41125,0.3375,0.49,0.18875,0.4025,0.18,0.505,0.25875,0.33625,0.19875,0.50125,0.3325,0.29,0.19,0.465,0.33125,0.40875,0.33875,0.4925,0.18875,0.40125,0.1825,0.50375,0.2575,0.33625,0.1925,0.49875,0.33375,0.27875,0.17125,0.46875,0.34375,0.4075,0.34,0.49125,0.1925,0.40125,0.18125,0.50875,0.26625,0.33875,0.19,0.50875,0.34,0.295,0.185,0.46375,0.34375,0.41,0.34375,0.49,0.18875,0.4025,0.17875,0.505,0.26125,0.335,0.2,0.51,0.33625,0.2625,0.17,0.46375,0.33875,0.41,0.3375,0.49375,0.19,0.40125,0.18625,0.50625,0.26,0.32625,0.195,0.50375,0.33875,0.26,0.1775,0.465,0.3425,0.4075,0.34125,0.4925,0.18875,0.39875,0.18,0.50625,0.25625,0.33625,0.19875,0.50375,0.34,0.445,0.3425,0.46125,0.33375,0.4075,0.33875,0.49,0.19,0.4,0.18125,0.50625,0.26,0.33375,0.2,0.5,0.33625,0.44875,0.33625,0.46375,0.34125,0.405,0.34,1
0.49,0.18875,0.4025,0.18,0.505,0.25875,0.33625,0.19875,0.50125,0.3325,0.29,0.19,0.465,0.33125,0.40875,0.33875,0.4925,0.18875,0.40125,0.1825,0.50375,0.2575,0.33625,0.1925,0.49875,0.33375,0.27875,0.17125,0.46875,0.34375,0.4075,0.34,0.49125,0.1925,0.40125,0.18125,0.50875,0.26625,0.33875,0.19,0.50875,0.34,0.295,0.185,0.46375,0.34375,0.41,0.34375,0.49,0.18875,0.4025,0.17875,0.505,0.26125,0.335,0.2,0.51,0.33625,0.2625,0.17,0.46375,0.33875,0.41,0.3375,0.49375,0.19,0.40125,0.18625,0.50625,0.26,0.32625,0.195,0.50375,0.33875,0.26,0.1775,0.465,0.3425,0.4075,0.34125,0.4925,0.18875,0.39875,0.18,0.50625,0.25625,0.33625,0.19875,0.50375,0.34,0.445,0.3425,0.46125,0.33375,0.4075,0.33875,0.49,0.19,0.4,0.18125,0.50625,0.26,0.33375,0.2,0.5,0.33625,0.44875,0.33625,0.46375,0.34125,0.405,0.34,0.49125,0.19,0.39875,0.18375,0.49875,0.2625,0.325,0.205,0.5025,0.34,0.27375,0.18375,0.4625,0.34125,0.405,0.3375,1
0.4925,0.18875,0.40125,0.1825,0.50375,0.2575,0.33625,0.1925,0.49875,0.33375,0.27875,0.17125,0.46875,0.34375,0.4075,0.34,0.49125,0.1925,0.40125,0.18125,0.50875,0.26625,0.33875,0.19,0.50875,0.34,0.295,0.185,0.46375,0.34375,0.41,0.34375,0.49,0.18875,0.4025,0.17875,0.505,0.26125,0.335,0.2,0.51,0.33625,0.2625,0.17,0.46375,0.33875,0.41,0.3375,0.49375,0.19,0.40125,0.18625,0.50625,0.26,0.32625,0.195,0.50375,0.33875,0.26,0.1775,0.465,0.3425,0.4075,0.34125,0.4925,0.18875,0.39875,0.18,0.50625,0.25625,0.33625,0.19875,0.50375,0.34,0.445,0.3425,0.46125,0.33375,0.4075,0.33875,0.49,0.19,0.4,0.18125,0.50625,0.26,0.33375,0.2,0.5,0.33625,0.44875,0.33625,0.46375,0.34125,0.405,0.34,0.49125,0.19,0.39875,0.18375,0.49875,0.2625,0.325,0.205,0.5025,0.34,0.27375,0.18375,0.4625,0.34125,0.405,0.3375,0.49125,0.19,0.39875,0.1825,0.49875,0.26125,0.3275,0.20375,0.49875,0.33625,0.29125,0.19125,0.46,0.33625,0.40875,0.335,1
0.49125,0.1925,0.40125,0.18125,0.50875,0.26625,0.33875,0.19,0.50875,0.34,0.295,0.185,0.46375,0.34375,0.41,0.34375,0.49,0.18875,0.4025,0.17875,0.505,0.26125,0.335,0.2,0.51,0.33625,0.2625,0.17,0.46375,0.33875,0.41,0.3375,0.49375,0.19,0.40125,0.18625,0.50625,0.26,0.32625,0.195,0.50375,0.33875,0.26,0.1775,0.465,0.3425,0.4075,0.34125,0.4925,0.18875,0.39875,0.18,0.50625,0.25625,0.33625,0.19875,0.50375,0.34,0.445,0.3425,0.46125,0.33375,0.4075,0.33875,0.49,0.19,0.4,0.18125,0.50625,0.26,0.33375,0.2,0.5,0.33625,0.44875,0.33625,0.46375,0.34125,0.405,0.34,0.49125,0.19,0.39875,0.18375,0.49875,0.2625,0.325,0.205,0.5025,0.34,0.27375,0.18375,0.4625,0.34125,0.405,0.3375,0.49125,0.19,0.39875,0.1825,0.49875,0.26125,0.3275,0.20375,0.49875,0.33625,0.29125,0.19125,0.46,0.33625,0.40875,0.335,0.49125,0.18875,0.39875,0.18125,0.50125,0.255,0.32875,0.2025,0.50625,0.3375,0.2725,0.1825,0.4625,0.33375,0.4075,0.3325,1
0.49,0.18875,0.4025,0.17875,0.505,0.26125,0.335,0.2,0.51,0.33625,0.2625,0.17,0.46375,0.33875,0.41,0.3375,0.49375,0.19,0.40125,0.18625,0.50625,0.26,0.32625,0.195,0.50375,0.33875,0.26,0.1775,0.465,0.3425,0.4075,0.34125,0.4925,0.18875,0.39875,0.18,0.50625,0.25625,0.33625,0.19875,0.50375,0.34,0.445,0.3425,0.46125,0.33375,0.4075,0.33875,0.49,0.19,0.4,0.18125,0.50625,0.26,0.33375,0.2,0.5,0.33625,0.44875,0.33625,0.46375,0.34125,0.405,0.34,0.49125,0.19,0.39875,0.18375,0.49875,0.2625,0.325,0.205,0.5025,0.34,0.27375,0.18375,0.4625,0.34125,0.405,0.3375,0.49125,0.19,0.39875,0.1825,0.49875,0.26125,0.3275,0.20375,0.49875,0.33625,0.29125,0.19125,0.46,0.33625,0.40875,0.335,0.49125,0.18875,0.39875,0.18125,0.50125,0.255,0.32875,0.2025,0.50625,0.3375,0.2725,0.1825,0.4625,0.33375,0.4075,0.3325,0.49,0.18625,0.39875,0.1825,0.505,0.25625,0.33125,0.20375,0.5025,0.34,0.2775,0.1775,0.46125,0.335,0.41,0.33625,1
0.49375,0.19,0.40125,0.18625,0.50625,0.26,0.32625,0.195,0.50375,0.33875,0.26,0.1775,0.465,0.3425,0.4075,0.34125,0.4925,0.18875,0.39875,0.18,0.50625,0.25625,0.33625,0.19875,0.50375,0.34,0.445,0.3425,0.46125,0.33375,0.4075,0.33875,0.49,0.19,0.4,0.18125,0.50625,0.26,0.33375,0.2,0.5,0.33625,0.44875,0.33625,0.46375,0.34125,0.405,0.34,0.49125,0.19,0.39875,0.18375,0.49875,0.2625,0.325,0.205,0.5025,0.34,0.27375,0.18375,0.4625,0.34125,0.405,0.3375,0.49125,0.19,0.39875,0.1825,0.49875,0.26125,0.3275,0.20375,0.49875,0.33625,0.29125,0.19125,0.46,0.33625,0.40875,0.335,0.49125,0.18875,0.39875,0.18125,0.50125,0.255,0.32875,0.2025,0.50625,0.3375,0.2725,0.1825,0.4625,0.33375,0.4075,0.3325,0.49,0.18625,0.39875,0.1825,0.505,0.25625,0.33125,0.20375,0.5025,0.34,0.2775,0.1775,0.46125,0.335,0.41,0.33625,0.49,0.19125,0.4,0.1825,0.51125,0.26125,0.335,0.205,0.50625,0.34,0.44625,0.34375,0.465,0.33875,0.41,0.34125,1
0.4925,0.18875,0.39875,0.18,0.50625,0.25625,0.33625,0.19875,0.50375,0.34,0.445,0.3425,0.46125,0.33375,0.4075,0.33875,0.49,0.19,0.4,0.18125,0.50625,0.26,0.33375,0.2,0.5,0.33625,0.44875,0.33625,0.46375,0.34125,0.405,0.34,0.49125,0.19,0.39875,0.18375,0.49875,0.2625,0.325,0.205,0.5025,0.34,0.27375,0.18375,0.4625,0.34125,0.405,0.3375,0.49125,0.19,0.39875,0.1825,0.49875,0.26125,0.3275,0.20375,0.49875,0.33625,0.29125,0.19125,0.46,0.33625,0.40875,0.335,0.49125,0.18875,0.39875,0.18125,0.50125,0.255,0.32875,0.2025,0.50625,0.3375,0.2725,0.1825,0.4625,0.33375,0.4075,0.3325,0.49,0.18625,0.39875,0.1825,0.505,0.25625,0.33125,0.20375,0.5025,0.34,0.2775,0.1775,0.46125,0.335,0.41,0.33625,0.49,0.19125,0.4,0.1825,0.51125,0.26125,0.335,0.205,0.50625,0.34,0.44625,0.34375,0.465,0.33875,0.41,0.34125,0.48875,0.18875,0.4,0.1825,0.51,0.2625,0.3325,0.20875,0.5075,0.335,0.475,0.335,0.46125,0.34,0.4075,0.33375,1
0.49,0.19,0.4,0.18125,0.50625,0.26,0.33375,0.2,0.5,0.33625,0.44875,0.33625,0.46375,0.34125,0.405,0.34,0.49125,0.19,0.39875,0.18375,0.49875,0.2625,0.325,0.205,0.5025,0.34,0.27375,0.18375,0.4625,0.34125,0.405,0.3375,0.49125,0.19,0.39875,0.1825,0.49875,0.26125,0.3275,0.20375,0.49875,0.33625,0.29125,0.19125,0.46,0.33625,0.40875,0.335,0.49125,0.18875,0.39875,0.18125,0.50125,0.255,0.32875,0.2025,0.50625,0.3375,0.2725,0.1825,0.4625,0.33375,0.4075,0.3325,0.49,0.18625,0.39875,0.1825,0.505,0.25625,0.33125,0.20375,0.5025,0.34,0.2775,0.1775,0.46125,0.335,0.41,0.33625,0.49,0.19125,0.4,0.1825,0.51125,0.26125,0.335,0.205,0.50625,0.34,0.44625,0.34375,0.465,0.33875,0.41,0.34125,0.48875,0.18875,0.4,0.1825,0.51,0.2625,0.3325,0.20875,0.5075,0.335,0.475,0.335,0.46125,0.34,0.4075,0.33375,0.48625,0.18875,0.4,0.18875,0.51125,0.26,0.33125,0.20125,0.52125,0.33375,0.50375,0.34125,0.46,0.33625,0.40625,0.335,1
