leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,label
0.4925,0.1875,0.4,0.1825,0.505,0.26,0.34375,0.195,0.50875,0.33875,0.26625,0.16875,0.465,0.34375,0.41125,0.34625,1
0.4925,0.18875,0.4025,0.18625,0.5075,0.25875,0.3325,0.1975,0.5,0.3375,0.27625,0.175,0.4675,0.33625,0.40875,0.3375,1
0.49125,0.19,0.4025,0.17875,0.505,0.26125,0.335,0.19875,0.51125,0.335,0.26375,0.16875,0.46375,0.33875,0.40875,0.3375,1
0.4925,0.1925,0.40125,0.18125,0.505,0.26375,0.3325,0.2,0.50625,0.33625,0.285,0.175,0.46875,0.3475,0.41125,0.34,1
0.4925,0.18875,0.4025,0.1825,0.5,0.26,0.33625,0.20375,0.49875,0.33875,0.28,0.1875,0.46375,0.3425,0.41,0.33875,1
0.49,0.19,0.4,0.18125,0.50625,0.26125,0.33125,0.20125,0.5,0.3375,0.4475,0.33625,0.46375,0.34125,0.405,0.34,1
0.49125,0.19125,0.3975,0.18,0.5025,0.26125,0.32875,0.19875,0.4975,0.33375,0.41875,0.3225,0.46,0.3375,0.4075,0.33625,1
0.49125,0.19,0.40125,0.18875,0.50375,0.26375,0.33,0.2025,0.50375,0.34,0.41625,0.335,0.465,0.34125,0.40875,0.33625,1
0.49125,0.19,0.3975,0.18125,0.4975,0.2625,0.32625,0.20375,0.49875,0.33625,0.285,0.19,0.46,0.3375,0.40875,0.33625,1
0.48875,0.18875,0.4,0.18375,0.5025,0.25875,0.3325,0.2025,0.50875,0.3375,0.2875,0.1925,0.46125,0.33375,0.40875,0.33625,1
0.49,0.19,0.4,0.18125,0.50125,0.2575,0.32625,0.2,0.50375,0.33625,0.47125,0.33625,0.46,0.3375,0.40625,0.33625,1
0.49,0.1875,0.39875,0.1825,0.505,0.2575,0.33125,0.20375,0.51,0.3375,0.4725,0.33375,0.46125,0.3375,0.40875,0.33625,1
0.48875,0.1875,0.4,0.18125,0.505,0.25875,0.33125,0.20875,0.4975,0.33375,0.42125,0.33125,0.465,0.3425,0.4125,0.3375,1
