file	actual_length	from_extraction	delta
flip_c_01_120	68677	66290	2387
flip_c_02	63117	60562	2555
flip_c_03	64048	63629	419
flip_l_01_120	70576	69924	652
flip_l_02	62915	62303	612
flip_l_03	64248	63629	619
flip_p_01_120	66712	66095	617
land_c_01_120	63482	62870	612
land_c_02	64547	63666	881
land_c_03	64114	63556	558
land_l_01_120	68994	68204	790
land_l_02	61750	60163	1587
land_l_03	64814	63915	899
left_c_01_120	62482	61139	1343
left_c_02_120	61017	60053	964
left_c_03_120	62982	61599	1383
left_l_01_120	65180	61670	3510
left_l_02_120	61750	61086	664
left_l_03_120	63515	62922	593
move_c_01_120	70709	69928	781
move_l_01_120	73274	72651	623
move_p_01_120	70244	69061	1183
none_p_01_120	53356	54506	-1150
right_c_01_120	69011	60680	8331
right_c_02_120	105258	104692	566
right_l_01_120	69410	63608	5802
right_l_02_120	65980	65414	566
right_l_03_120	61317	60407	910
takeoff_l_01_120	65647	64669	978
takeoff_c_01_120	63448	62639	809
takeoff_c_02	61217	60658	559
takeoff_c_03	78103	77498	605
takeoff_l_02	68444	67195	1249
takeoff_l_03	62383	61528	855
